Case Study Id,funder_ahrc,funder_bbsrc,funder_british_academy,funder_cclrc,funder_epsrc,funder_esrc,funder_mrc,funder_nerc,funder_pparc,funder_rcuk,funder_royal_academy_engineering,funder_royal_society,funder_stfc,funder_uk_space_agency,funder_wellcome
1761,,,,,funder_epsrc,funder_esrc,,,,,,,,,
1811,,,,,,funder_esrc,,,,,,,,,
1822,,,,,,,funder_mrc,,,,,,,,
1856,,,,,,,funder_mrc,,,,,,,,
1857,,,,,,,funder_mrc,,,,,,,,
1858,,,,,,,,funder_nerc,,,,,,,
1882,,,,,,,,,,,,,,,funder_wellcome
1884,,,,,funder_epsrc,,,,,,,,,,
1885,,,,,funder_epsrc,funder_esrc,,,,funder_rcuk,,,,,
1886,,,,,funder_epsrc,,,,,funder_rcuk,,,,,
1887,,,,,funder_epsrc,,,,,,,,,,
1892,,,,,funder_epsrc,,,,,,,,,,
1918,,,funder_british_academy,,,,,,,,,,,,
1921,,,,,funder_epsrc,,,,,,,,,,
1922,,,,,funder_epsrc,,,,,,,,,,
1929,,,,,,,,,,,,,,,funder_wellcome
1945,,,,,,funder_esrc,,,,,,,,,
1955,,,,,funder_epsrc,,,,,,,,,,
1956,,,,,funder_epsrc,,,,,,,,,,
1957,,,,,,funder_esrc,,,,,,,,,
1975,,,,,,funder_esrc,,,,,,,,,
1980,,,funder_british_academy,,,funder_esrc,,,,,,,,,
1981,,,,,,funder_esrc,,,,,,,,,
1984,funder_ahrc,,funder_british_academy,,,,,,,,,,,,
1986,,,,,,funder_esrc,,,,,,,,,
1988,,funder_bbsrc,,,,,,,,,,funder_royal_society,,,
1989,funder_ahrc,,,,,,,,,,,,,,
1990,,,,,,,,funder_nerc,,,,,,,
1991,,,,,,,,funder_nerc,,,,funder_royal_society,,,
2010,,,,,funder_epsrc,,,,,,,,,,
2226,funder_ahrc,,funder_british_academy,,,,,,,,,,,,
2326,,,,,funder_epsrc,,,,,,,,,,
2327,,,,,funder_epsrc,,,,,,,,,,
2329,,,,,funder_epsrc,,,,,,,,,,
2372,,,,,,,,,,,,,,,funder_wellcome
2373,,funder_bbsrc,,,,,,,,,,,,,
2374,,funder_bbsrc,,,,,,,,,,,,,
2375,,,,,,,,,,,,funder_royal_society,,,
2376,,funder_bbsrc,,,,,,,,,,,,,
2377,,funder_bbsrc,,,,,,,,funder_rcuk,,funder_royal_society,,,
2378,,funder_bbsrc,,,,,,funder_nerc,,,,,,,
2394,,,,,,,funder_mrc,,,,,,,,
2398,,,,,,,funder_mrc,,,,,funder_royal_society,,,funder_wellcome
2406,,,,,,funder_esrc,funder_mrc,,,,,,,,
2411,,,,,,funder_esrc,,,,,,,,,
2419,,,,,,funder_esrc,,,,,,,,,
2420,funder_ahrc,,,,,funder_esrc,,,,,,,,,
2421,funder_ahrc,,,,,,,,,,,,,,
2434,,,,,,funder_esrc,,,,,,,,,
2435,,,,,funder_epsrc,,,,,,,,,,
2454,,,,,funder_epsrc,,funder_mrc,,,,,,,,
2455,,funder_bbsrc,,,,,funder_mrc,,,,,,,,funder_wellcome
2456,,,,,funder_epsrc,,funder_mrc,,,,,,,,funder_wellcome
2460,,,,,,,,funder_nerc,,,,,,,
2465,,,,,,,,funder_nerc,,,,,,,
2531,,,funder_british_academy,,,,,,,,,,,,
2545,,,,,,funder_esrc,,,,,,,,,
2578,,,,,,funder_esrc,,,,,,,,,
2581,,,,,,funder_esrc,,,,,,,,,
2613,,,,,,,,,,,,,,,funder_wellcome
2708,,,,,,,funder_mrc,,,,,,,,
2729,,funder_bbsrc,,,,,,,,,,,,,funder_wellcome
2770,,,,,,,,,,,,,,,funder_wellcome
2771,,,funder_british_academy,,,,,,,,,,,,
2776,,,,,,,,,funder_pparc,funder_rcuk,,funder_royal_society,funder_stfc,,
2782,,,,,funder_epsrc,,,,,,,,,,
2784,,,,,funder_epsrc,,funder_mrc,,,,,,,,
2787,,,,,funder_epsrc,,,,,,,,,,
2789,,,,,,,,,,funder_rcuk,,,,,
2791,,,funder_british_academy,,,funder_esrc,,,,,,,,,
2793,,,,,,funder_esrc,,,,,,,,,
2809,funder_ahrc,,,,,,,,,,,,,,
2810,funder_ahrc,,,,,,,,,,,,,,
2813,funder_ahrc,,,,,,,,,,,,,,
2814,funder_ahrc,,,,,,,,,,,,,,
2815,funder_ahrc,,,,,,,,,,,,,,
2818,funder_ahrc,,,,,,,,,,,,,,
2999,,,,,,,funder_mrc,,,,,,,,
3001,,,,,,funder_esrc,,,,,,,,,
3067,,,,,,,funder_mrc,,,,,,,,
3141,,,,,,funder_esrc,,funder_nerc,,,,funder_royal_society,,,
3143,,funder_bbsrc,,,,,,,,,,,,,
3145,,,,,,,funder_mrc,,,,,,,,funder_wellcome
3147,,,,,,funder_esrc,,,,,,,,,
3148,,,,,,,funder_mrc,,,,,,,,
3345,,,,,funder_epsrc,,,,,,,,,,
3351,,,,,,,funder_mrc,,,,,,,,funder_wellcome
3356,funder_ahrc,funder_bbsrc,,,funder_epsrc,funder_esrc,funder_mrc,,,funder_rcuk,,,,,
3357,,,,,,funder_esrc,,,,,,,,,
3389,,,,,funder_epsrc,,,,,,,,,,
3392,funder_ahrc,,,,,,,,,,,,,,
3397,,,,,,,,funder_nerc,,,,funder_royal_society,,,
3399,,funder_bbsrc,,,,,,,,,,,,,
3400,,funder_bbsrc,,,,,,,,,,,,,
3402,,funder_bbsrc,,,,,,,,,,,,,
3404,funder_ahrc,,,,funder_epsrc,,,,,,,,,,
3405,funder_ahrc,,funder_british_academy,,,,,funder_nerc,,funder_rcuk,,,,,
3407,,,,,funder_epsrc,,,,,,,,,,
3408,,,,,,,funder_mrc,,,,,,,,
3409,,,,,,,funder_mrc,,,,,,,,
3410,,,,,,,funder_mrc,,,,,,,,funder_wellcome
3417,,,,,,,funder_mrc,,,,,,,,
3419,,funder_bbsrc,,,funder_epsrc,,funder_mrc,,,funder_rcuk,,funder_royal_society,,,
3423,,,funder_british_academy,,,,,,,,,,,,
3452,,,,,funder_epsrc,,,,,,,,,,
3453,,,,,funder_epsrc,,,,,,,,,,
3454,,,,,,funder_esrc,,,,,,,,,
3461,,,,,,,,,,,funder_royal_academy_engineering,,,,
3464,,,funder_british_academy,,,,,,,,,,,,
3465,,,,,,,,,,,,funder_royal_society,,,
3466,,,,,,,,,funder_pparc,,,,funder_stfc,,
3467,,,,,,,,,funder_pparc,,,funder_royal_society,funder_stfc,funder_uk_space_agency,
3469,,,,,,funder_esrc,,,,funder_rcuk,,,,,
3470,,,,,,funder_esrc,,,,,,,,,
3471,,,,,,funder_esrc,,,,,,,,,
3472,funder_ahrc,,funder_british_academy,,,,,,,,,,,,
3473,,,,,,,funder_mrc,,,,,,,,
3474,,,,,funder_epsrc,funder_esrc,,,,,,,,,
3476,,,,,,funder_esrc,,,,,,,,,
3477,,funder_bbsrc,,,,funder_esrc,funder_mrc,,,,,,,,
3479,,,,,,,,,,,,,,,funder_wellcome
3480,,,,,,,,,,,,funder_royal_society,,,
3481,,,,,,funder_esrc,,,,,,,,,
3483,,,,,,funder_esrc,,,,,,,,,
3485,,,,,,funder_esrc,,,,,,,,,
3486,,,,,,,,,,,,funder_royal_society,,,
3487,,,,,,,funder_mrc,,,,,,,,
3488,,,,,,funder_esrc,,,,,,,,,
3516,,,,,,funder_esrc,,,,,,,,,
3517,,,,,,funder_esrc,,,,,,,,,
3518,,,,,,funder_esrc,,,,,,,,,
3519,,,,,funder_epsrc,,,,,,,,,,
3520,,,,,,funder_esrc,,,,,,,,,
3521,,,,,,funder_esrc,,,,,,,,,
3553,,,,,,funder_esrc,,,,funder_rcuk,,,,,
3580,funder_ahrc,,,,,,,,,,,,,,
3582,,,funder_british_academy,,,,,,,,,,,,
3653,,,,,,funder_esrc,,,,,,,,,funder_wellcome
3656,,,,,funder_epsrc,,funder_mrc,,,,,,,,
3659,,,,,,,,funder_nerc,,,,,,,
3663,,,,,funder_epsrc,,,funder_nerc,,,funder_royal_academy_engineering,,,,
3667,,,,,,,funder_mrc,,,,,,,,funder_wellcome
3668,,,,,,,funder_mrc,,,,,,,,
3669,,,,,,funder_esrc,funder_mrc,,,,,,,,
3672,,funder_bbsrc,,,,,,,,,,,,,funder_wellcome
3674,,,,,,,funder_mrc,,,,,,,,
3680,,,,,,funder_esrc,,,,,,,,,
3683,,,,,,funder_esrc,,,,,,,,,
3685,,,,,,funder_esrc,,,,,,funder_royal_society,,,
3688,,,,,funder_epsrc,,,,,,,,,,
3690,,,,,,funder_esrc,,,,,,,,,
