word location,count matching 1 word,% of all studies,count matching 2 words,% all studies 2 words,count matching 3 words,% all studies 3 words,count matching 4 words,% all studies 4 words,count matching 5 words,% all studies 5 words,count matching 6 words,% all studies 6 words,count matching 7 words,% all studies 7 words,count matching 8 words,% all studies 8 words,count matching 9 words,% all studies 9 words,count matching 10 words,% all studies 10 words,count matching 11 words,% all studies 11 words,count matching 12 words,% all studies 12 words,count matching 13 words,% all studies 13 words,count matching 14 words,% all studies 14 words,count matching 15 words,% all studies 15 words,count matching 16 words,% all studies 16 words,count matching 17 words,% all studies 17 words,count matching 18 words,% all studies 18 words,count matching 19 words,% all studies 19 words,count matching 20 words,% all studies 20 words,count matching 21 words,% all studies 21 words
anywhere,3183,48.0,646,10.0,408,6.0,210,3.0,134,2.0,122,2.0,64,1.0,53,1.0,35,1.0,24,0.0,14,0.0,10,0.0,6,0.0,6,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Underpinning research,2270,34.0,529,8.0,374,6.0,199,3.0,131,2.0,119,2.0,64,1.0,51,1.0,35,1.0,24,0.0,14,0.0,10,0.0,6,0.0,6,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Details of the impact,2210,33.0,477,7.0,366,6.0,200,3.0,132,2.0,121,2.0,64,1.0,53,1.0,35,1.0,24,0.0,14,0.0,10,0.0,6,0.0,6,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Summary of the impact,810,12.0,109,2.0,170,3.0,108,2.0,89,1.0,97,1.0,55,1.0,47,1.0,34,1.0,24,0.0,13,0.0,10,0.0,6,0.0,6,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Title,215,3.0,5,0.0,15,0.0,28,0.0,26,0.0,38,1.0,23,0.0,25,0.0,17,0.0,12,0.0,7,0.0,8,0.0,3,0.0,6,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
