,count,% of all studies
 epsrc,680,10.0
 esrc,304,5.0
 royal society,277,4.0
 ahrc,228,3.0
 mrc,190,3.0
 nerc,181,3.0
 wellcome,151,2.0
 rcuk,109,2.0
 british academy,105,2.0
 bbsrc,96,1.0
 stfc,51,1.0
 royal academy engineering,36,1.0
 pparc,17,0.0
 uk space agency,16,0.0
 cclrc,3,0.0
